participantId,taskId,variant,metric,value,lower_bound,upper_bound,reason
P8P27NREY,1,A,clickCount,64,-2.875,26.125,Above Q3 + 1.5 * IQR
PMDGQF6V3,1,A,clickCount,75,-2.875,26.125,Above Q3 + 1.5 * IQR
P6OM5XQ9D,1,A,completionTimeSec,85.608,-11.6999,58.6411,Above Q3 + 1.5 * IQR
PMDGQF6V3,1,A,completionTimeSec,80.913,-11.6999,58.6411,Above Q3 + 1.5 * IQR
P8P27NREY,1,A,misclickCount,17,-7.875,13.125,Above Q3 + 1.5 * IQR
PMDGQF6V3,1,A,misclickCount,36,-7.875,13.125,Above Q3 + 1.5 * IQR
PMDGQF6V3,1,A,pageTransitionCount,22,5,13,Above Q3 + 1.5 * IQR
PE7C6H021,1,B,Error Prevention,2.5,2.75,6.75,Below Q1 - 1.5 * IQR
PK30UIESJ,1,B,Error Prevention,2.25,2.75,6.75,Below Q1 - 1.5 * IQR
PWV2MFTIM,1,B,Error Prevention,2.25,2.75,6.75,Below Q1 - 1.5 * IQR
P9KSFLSKT,1,B,clickCount,7,5,5,Above Q3 + 1.5 * IQR
PTJGE7EXG,1,B,clickCount,6,5,5,Above Q3 + 1.5 * IQR
PYLDRR3RU,1,B,clickCount,6,5,5,Above Q3 + 1.5 * IQR
PVD54NPZC,1,B,clickCount,45,5,5,Above Q3 + 1.5 * IQR
P8P27NREY,1,B,clickCount,10,5,5,Above Q3 + 1.5 * IQR
PO0YWX23G,1,B,clickCount,7,5,5,Above Q3 + 1.5 * IQR
PMDGQF6V3,1,B,clickCount,7,5,5,Above Q3 + 1.5 * IQR
PBWP8UE0A,1,B,clickCount,13,5,5,Above Q3 + 1.5 * IQR
PE7C6H021,1,B,completionTimeSec,20.549,1.48775,19.2177,Above Q3 + 1.5 * IQR
P9KSFLSKT,1,B,completionTimeSec,32.088,1.48775,19.2177,Above Q3 + 1.5 * IQR
PVD54NPZC,1,B,completionTimeSec,42.579,1.48775,19.2177,Above Q3 + 1.5 * IQR
PMDGQF6V3,1,B,completionTimeSec,29.832,1.48775,19.2177,Above Q3 + 1.5 * IQR
P9KSFLSKT,1,B,misclickCount,1,0,0,Above Q3 + 1.5 * IQR
PYLDRR3RU,1,B,misclickCount,1,0,0,Above Q3 + 1.5 * IQR
PVD54NPZC,1,B,misclickCount,39,0,0,Above Q3 + 1.5 * IQR
PO0YWX23G,1,B,misclickCount,1,0,0,Above Q3 + 1.5 * IQR
PBWP8UE0A,1,B,misclickCount,1,0,0,Above Q3 + 1.5 * IQR
PBWP8UE0A,1,B,pageTransitionCount,8,3.5,7.5,Above Q3 + 1.5 * IQR
PCFQE8NID,2,A,completionTimeSec,19.256,-5.41713,17.7439,Above Q3 + 1.5 * IQR
P1FCXJG5G,2,A,completionTimeSec,27.222,-5.41713,17.7439,Above Q3 + 1.5 * IQR
P7SSRCDH3,2,A,misclickCount,1,0,0,Above Q3 + 1.5 * IQR
PX47H0075,2,A,misclickCount,1,0,0,Above Q3 + 1.5 * IQR
P6OM5XQ9D,2,A,misclickCount,3,0,0,Above Q3 + 1.5 * IQR
PCFQE8NID,2,A,misclickCount,2,0,0,Above Q3 + 1.5 * IQR
PMY9EY80T,2,A,misclickCount,2,0,0,Above Q3 + 1.5 * IQR
PFWMMXIWA,2,A,misclickCount,1,0,0,Above Q3 + 1.5 * IQR
P1FCXJG5G,2,A,misclickCount,2,0,0,Above Q3 + 1.5 * IQR
PRL17E7I2,2,B,clickCount,11,0,8,Above Q3 + 1.5 * IQR
PRL17E7I2,2,B,completionTimeSec,19.297,-3.84362,14.0714,Above Q3 + 1.5 * IQR
PR8OY8GUT,2,B,completionTimeSec,15.216,-3.84362,14.0714,Above Q3 + 1.5 * IQR
PYLDRR3RU,2,B,misclickCount,1,0,0,Above Q3 + 1.5 * IQR
PRL17E7I2,2,B,pageTransitionCount,10,0,8,Above Q3 + 1.5 * IQR
P9KSFLSKT,3,A,clickCount,15,5.375,14.375,Above Q3 + 1.5 * IQR
P30GF9DCE,3,A,clickCount,3,5.375,14.375,Below Q1 - 1.5 * IQR
PLEWQ562J,3,A,clickCount,5,5.375,14.375,Below Q1 - 1.5 * IQR
PYVFGA3G2,3,A,clickCount,17,5.375,14.375,Above Q3 + 1.5 * IQR
PVD54NPZC,3,A,clickCount,17,5.375,14.375,Above Q3 + 1.5 * IQR
PMY9EY80T,3,A,clickCount,19,5.375,14.375,Above Q3 + 1.5 * IQR
P9KSFLSKT,3,A,completionTimeSec,41.815,1.23812,26.3191,Above Q3 + 1.5 * IQR
P6OM5XQ9D,3,A,completionTimeSec,27.779,1.23812,26.3191,Above Q3 + 1.5 * IQR
PVD54NPZC,3,A,completionTimeSec,28.104,1.23812,26.3191,Above Q3 + 1.5 * IQR
P9KSFLSKT,3,A,misclickCount,4,-1.5,2.5,Above Q3 + 1.5 * IQR
PYVFGA3G2,3,A,misclickCount,8,-1.5,2.5,Above Q3 + 1.5 * IQR
PMY9EY80T,3,A,misclickCount,3,-1.5,2.5,Above Q3 + 1.5 * IQR
P30GF9DCE,3,A,pageTransitionCount,3,3.5,15.5,Below Q1 - 1.5 * IQR
PLEWQ562J,3,A,pageTransitionCount,3,3.5,15.5,Below Q1 - 1.5 * IQR
PVD54NPZC,3,A,pageTransitionCount,16,3.5,15.5,Above Q3 + 1.5 * IQR
PR8OY8GUT,3,A,pageTransitionCount,3,3.5,15.5,Below Q1 - 1.5 * IQR
PO0YWX23G,3,B,Recognition Rather Than Recall,3,3.5,7.5,Below Q1 - 1.5 * IQR
PLZ9FQ9H6,3,B,clickCount,8,3.5,7.5,Above Q3 + 1.5 * IQR
P8J79DAMX,3,B,clickCount,9,3.5,7.5,Above Q3 + 1.5 * IQR
PYVFGA3G2,3,B,clickCount,14,3.5,7.5,Above Q3 + 1.5 * IQR
PK30UIESJ,3,B,clickCount,9,3.5,7.5,Above Q3 + 1.5 * IQR
PYVFGA3G2,3,B,completionTimeSec,25.182,-1.42675,19.1532,Above Q3 + 1.5 * IQR
PLZ9FQ9H6,3,B,misclickCount,1,0,0,Above Q3 + 1.5 * IQR
P8J79DAMX,3,B,misclickCount,3,0,0,Above Q3 + 1.5 * IQR
PYVFGA3G2,3,B,misclickCount,4,0,0,Above Q3 + 1.5 * IQR
PK30UIESJ,3,B,misclickCount,1,0,0,Above Q3 + 1.5 * IQR
PO0YWX23G,3,B,misclickCount,1,0,0,Above Q3 + 1.5 * IQR
PYVFGA3G2,3,B,pageTransitionCount,9,3.5,7.5,Above Q3 + 1.5 * IQR
PK30UIESJ,3,B,pageTransitionCount,8,3.5,7.5,Above Q3 + 1.5 * IQR
