participantId,taskId,measure_type,metric,construct,A_value,B_value,improvement,improvement_direction
P028CWG0W,1,behavioral,completionTimeSec,,20.181,13.423,6.758,A - B; positive values favor Variant B
P02MVX12U,1,behavioral,completionTimeSec,,22.284,13.813,8.471,A - B; positive values favor Variant B
P1AJ983YU,1,behavioral,completionTimeSec,,8.115,8.143,-0.028,A - B; positive values favor Variant B
P1FCXJG5G,1,behavioral,completionTimeSec,,32.233,7.709,24.524,A - B; positive values favor Variant B
P30GF9DCE,1,behavioral,completionTimeSec,,50.485,11.035,39.45,A - B; positive values favor Variant B
P3GT3SJCJ,1,behavioral,completionTimeSec,,17.553,8.117,9.436,A - B; positive values favor Variant B
P6OM5XQ9D,1,behavioral,completionTimeSec,,85.608,18.93,66.678,A - B; positive values favor Variant B
P7SSRCDH3,1,behavioral,completionTimeSec,,47.779,10.632,37.147,A - B; positive values favor Variant B
P8J79DAMX,1,behavioral,completionTimeSec,,29.878,9.474,20.404,A - B; positive values favor Variant B
P8P27NREY,1,behavioral,completionTimeSec,,40.327,17.801,22.526,A - B; positive values favor Variant B
P8R7D3U4Y,1,behavioral,completionTimeSec,,10.473,5.456,5.017,A - B; positive values favor Variant B
P99LEMZ3N,1,behavioral,completionTimeSec,,31.282,13.355,17.927,A - B; positive values favor Variant B
P9KSFLSKT,1,behavioral,completionTimeSec,,39.103,32.088,7.015,A - B; positive values favor Variant B
PBWP8UE0A,1,behavioral,completionTimeSec,,9.517,18.075,-8.558,A - B; positive values favor Variant B
PCFQE8NID,1,behavioral,completionTimeSec,,16.067,8.297,7.77,A - B; positive values favor Variant B
PE7C6H021,1,behavioral,completionTimeSec,,38.5,20.549,17.951,A - B; positive values favor Variant B
PE9W58M1S,1,behavioral,completionTimeSec,,14.255,8.109,6.146,A - B; positive values favor Variant B
PFWMMXIWA,1,behavioral,completionTimeSec,,10.845,7.511,3.334,A - B; positive values favor Variant B
PGH86PBFM,1,behavioral,completionTimeSec,,20.069,12.307,7.762,A - B; positive values favor Variant B
PH81DPP1K,1,behavioral,completionTimeSec,,11.978,6.958,5.02,A - B; positive values favor Variant B
PK0Y2I1M9,1,behavioral,completionTimeSec,,17.349,10.832,6.517,A - B; positive values favor Variant B
PK30UIESJ,1,behavioral,completionTimeSec,,13.388,9.964,3.424,A - B; positive values favor Variant B
PLEWQ562J,1,behavioral,completionTimeSec,,25.577,8.676,16.901,A - B; positive values favor Variant B
PLZ9FQ9H6,1,behavioral,completionTimeSec,,15.183,9.857,5.326,A - B; positive values favor Variant B
PMDGQF6V3,1,behavioral,completionTimeSec,,80.913,29.832,51.081,A - B; positive values favor Variant B
PMY9EY80T,1,behavioral,completionTimeSec,,33.276,7.828,25.448,A - B; positive values favor Variant B
PO0YWX23G,1,behavioral,completionTimeSec,,7.961,6.142,1.819,A - B; positive values favor Variant B
POMEU60X3,1,behavioral,completionTimeSec,,11.489,8.617,2.872,A - B; positive values favor Variant B
PQ3KZGKWP,1,behavioral,completionTimeSec,,20.81,9.677,11.133,A - B; positive values favor Variant B
PR8OY8GUT,1,behavioral,completionTimeSec,,21.216,11.274,9.942,A - B; positive values favor Variant B
PRL17E7I2,1,behavioral,completionTimeSec,,17.56,9.043,8.517,A - B; positive values favor Variant B
PS8SF0PF2,1,behavioral,completionTimeSec,,22.035,10.701,11.334,A - B; positive values favor Variant B
PSWWIV0XB,1,behavioral,completionTimeSec,,14.819,9.439,5.38,A - B; positive values favor Variant B
PTA7OSL0B,1,behavioral,completionTimeSec,,15.162,7.165,7.997,A - B; positive values favor Variant B
PTJGE7EXG,1,behavioral,completionTimeSec,,29.171,12.206,16.965,A - B; positive values favor Variant B
PVD54NPZC,1,behavioral,completionTimeSec,,28.019,42.579,-14.56,A - B; positive values favor Variant B
PWV2MFTIM,1,behavioral,completionTimeSec,,9.91,5.942,3.968,A - B; positive values favor Variant B
PX47H0075,1,behavioral,completionTimeSec,,32.354,11.379,20.975,A - B; positive values favor Variant B
PYLDRR3RU,1,behavioral,completionTimeSec,,37.872,9.746,28.126,A - B; positive values favor Variant B
PYVFGA3G2,1,behavioral,completionTimeSec,,29.983,11.718,18.265,A - B; positive values favor Variant B
P028CWG0W,1,behavioral,clickCount,,16,5,11,A - B; positive values favor Variant B
P02MVX12U,1,behavioral,clickCount,,8,5,3,A - B; positive values favor Variant B
P1AJ983YU,1,behavioral,clickCount,,8,5,3,A - B; positive values favor Variant B
P1FCXJG5G,1,behavioral,clickCount,,13,5,8,A - B; positive values favor Variant B
P30GF9DCE,1,behavioral,clickCount,,17,5,12,A - B; positive values favor Variant B
P3GT3SJCJ,1,behavioral,clickCount,,16,5,11,A - B; positive values favor Variant B
P6OM5XQ9D,1,behavioral,clickCount,,23,5,18,A - B; positive values favor Variant B
P7SSRCDH3,1,behavioral,clickCount,,24,5,19,A - B; positive values favor Variant B
P8J79DAMX,1,behavioral,clickCount,,13,5,8,A - B; positive values favor Variant B
P8P27NREY,1,behavioral,clickCount,,64,10,54,A - B; positive values favor Variant B
P8R7D3U4Y,1,behavioral,clickCount,,8,5,3,A - B; positive values favor Variant B
P99LEMZ3N,1,behavioral,clickCount,,12,5,7,A - B; positive values favor Variant B
P9KSFLSKT,1,behavioral,clickCount,,8,7,1,A - B; positive values favor Variant B
PBWP8UE0A,1,behavioral,clickCount,,8,13,-5,A - B; positive values favor Variant B
PCFQE8NID,1,behavioral,clickCount,,10,5,5,A - B; positive values favor Variant B
PE7C6H021,1,behavioral,clickCount,,10,5,5,A - B; positive values favor Variant B
PE9W58M1S,1,behavioral,clickCount,,8,5,3,A - B; positive values favor Variant B
PFWMMXIWA,1,behavioral,clickCount,,8,5,3,A - B; positive values favor Variant B
PGH86PBFM,1,behavioral,clickCount,,9,5,4,A - B; positive values favor Variant B
PH81DPP1K,1,behavioral,clickCount,,10,5,5,A - B; positive values favor Variant B
PK0Y2I1M9,1,behavioral,clickCount,,10,5,5,A - B; positive values favor Variant B
PK30UIESJ,1,behavioral,clickCount,,9,5,4,A - B; positive values favor Variant B
PLEWQ562J,1,behavioral,clickCount,,18,5,13,A - B; positive values favor Variant B
PLZ9FQ9H6,1,behavioral,clickCount,,11,5,6,A - B; positive values favor Variant B
